Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1875.486042756023
FDW14,OUT017,1591.7612740786321
NCN55,OUT010,1822.6726586170034
FDQ58,OUT017,2546.3629591573945
FDY38,OUT027,5087.605400109229
FDH56,OUT046,1942.6371302122488
FDL48,OUT018,680.8000272442418
FDC48,OUT027,2806.042744135889
FDN33,OUT045,1541.2477558067712
FDA36,OUT017,3051.6757355410946
FDT44,OUT017,2004.981655103245
FDQ56,OUT045,1358.1533406290978
NCC54,OUT019,1819.7081624356483
FDU11,OUT049,2076.7501933506505
DRL59,OUT013,963.7365800429791
FDM24,OUT049,2541.571606499628
FDI57,OUT045,3047.5751030919687
DRC12,OUT018,2726.590331793126
NCM42,OUT027,3196.3220820943393
FDA46,OUT010,1129.086593209292
FDA31,OUT013,2782.8531016284614
NCJ31,OUT035,3802.6708588839992
FDG52,OUT046,863.6967323629372
NCL19,OUT019,383.6749739722959
FDS10,OUT035,2986.404070313179
FDX22,OUT010,1453.2700642602736
NCF19,OUT035,998.5313152811391
NCE06,OUT046,2519.8296088661195
DRC27,OUT046,3768.666066789686
FDE21,OUT035,2044.97505622815
NCR42,OUT019,-1251.1341145471415
FDX51,OUT018,2840.7076836527963
NCR06,OUT018,510.7134768810499
FDU31,OUT027,4872.661618212022
FDU59,OUT017,2684.937811854624
FDR03,OUT027,4667.855182836754
FDS49,OUT027,2769.552144702109
FDD48,OUT010,-11.742853337761971
NCF18,OUT017,3083.50922136491
NCD43,OUT027,3104.4140854002508
NCD54,OUT018,2007.8274969877743
FDY19,OUT010,23.568113246545636
NCY54,OUT017,2783.24155896781
NCL19,OUT018,2023.5214175263472
FDP23,OUT010,1509.3653428274188
FDC26,OUT013,1848.5794920752428
FDR14,OUT010,-931.0749455928537
NCS41,OUT035,2986.6196676007467
FDF41,OUT035,3971.3364664503206
FDU34,OUT046,2004.568317313598
DRH11,OUT046,984.1695289641879
FDM03,OUT013,1734.303406405877
FDS31,OUT017,2964.893326909249
FDJ20,OUT017,2116.752967896565
FDV44,OUT027,4427.784808962079
FDG02,OUT049,3080.328271401881
FDA09,OUT013,2877.9901004558037
FDT04,OUT013,743.8136889644129
FDL58,OUT019,2224.430519922795
FDE52,OUT045,1472.2979119940542
FDW12,OUT035,2500.327617754799
FDL51,OUT017,3499.171631751449
NCY42,OUT027,3669.354199459301
FDR07,OUT017,1704.3865411049337
FDN40,OUT045,2341.925789890122
FDB35,OUT027,2975.938723178917
FDA22,OUT017,2708.401927647027
NCL06,OUT046,4020.093188584381
FDI35,OUT013,2889.3869050858066
NCW42,OUT045,3358.986753706944
NCX06,OUT049,2926.3408466167157
FDC37,OUT027,3208.3154817412396
FDZ14,OUT018,1759.3628553683411
DRG49,OUT049,3880.472044509631
NCG06,OUT045,3875.8374405200034
DRC36,OUT045,2697.4303484146412
FDV21,OUT019,89.20329367236604
FDB53,OUT046,2335.2836003628095
DRP47,OUT019,1969.3600466199537
FDA14,OUT013,2346.3123118934705
DRC24,OUT035,2559.4368407748684
FDW21,OUT018,1431.1415252561837
NCH29,OUT046,1574.1901419858743
FDU58,OUT013,3038.8499545102045
FDY27,OUT017,2888.586673528192
FDV56,OUT035,1978.6353753250962
FDT59,OUT046,3588.2190445169254
FDB23,OUT046,3557.5198981563967
FDR49,OUT045,760.3217983798736
FDB03,OUT010,1879.1002918477898
FDN39,OUT045,2601.008116477853
FDX02,OUT027,4893.539499114107
FDQ16,OUT027,3196.57648028102
FDU35,OUT018,1349.3325726460903
NCT29,OUT013,1985.4074128544564
FDZ27,OUT046,871.1855531616693
FDN57,OUT017,2352.025935043546
FDA03,OUT018,2095.9434563670666
FDZ36,OUT045,2892.9101455455652
NCU05,OUT013,1378.5344023376722
FDT39,OUT018,2199.4632583522475
FDK60,OUT017,1722.7099429732361
FDZ25,OUT017,2809.5987327632392
FDG12,OUT046,1996.2641667968073
DRB01,OUT019,1083.3357803119598
NCC43,OUT027,5257.5615720883225
FDX13,OUT019,1979.8573545982827
FDM22,OUT049,1099.9470861104878
FDJ03,OUT027,2354.42284128843
FDU14,OUT018,3604.680000547861
FDB33,OUT010,672.576940136273
FDP27,OUT046,2975.193406761576
FDO38,OUT010,-582.7923496414344
FDE28,OUT027,5039.563589210016
FDO27,OUT035,1728.2847298513586
DRL23,OUT027,3168.9509894147486
FDS28,OUT046,1027.068348708507
FDX24,OUT013,1576.821883985006
FDZ02,OUT035,1784.0734724042352
FDL46,OUT045,1839.2554744810386
FDS60,OUT027,4250.409336238305
NCO06,OUT017,717.646590564175
FDO16,OUT035,1575.6042405473015
FDC60,OUT049,1593.720043722139
FDA48,OUT018,3143.385870077206
FDZ36,OUT027,4385.028482398677
FDK27,OUT045,1908.42898426102
FDW23,OUT018,471.6325537035441
FDM14,OUT018,1541.1823508090106
FDM14,OUT013,1815.3528147796865
FDW60,OUT018,2582.1162522474683
FDE21,OUT013,1937.836744936773
NCM42,OUT035,1909.6295631404064
FDY59,OUT010,-325.27664244780635
DRI49,OUT049,1411.616461620153
FDT28,OUT019,537.2071923218492
FDQ22,OUT018,492.45161044732413
FDR60,OUT049,1379.3844046079025
FDC50,OUT019,-340.25310825444285
FDV24,OUT013,2420.1696343514554
DRF48,OUT010,1114.8936484944256
FDQ47,OUT046,720.7024107545553
DRN36,OUT049,1683.4037250766808
NCY06,OUT035,2186.5456966803395
FDE52,OUT035,1667.7100348612537
NCB54,OUT045,1960.273423289846
NCF31,OUT035,2544.2467193331745
FDJ08,OUT027,4390.76265434792
NCC07,OUT017,1827.1444492907683
NCD19,OUT027,2337.0849311304028
FDL46,OUT049,2028.7564046335751
FDM20,OUT045,3747.4870288986026
NCI06,OUT010,943.0398761002449
DRM11,OUT035,4122.364533017647
NCH07,OUT018,2216.5615376056476
FDS23,OUT013,2100.7278006301876
FDO49,OUT018,669.6110700121153
FDS35,OUT049,1217.221714061268
DRK39,OUT045,1285.9726813735924
DRI39,OUT049,1099.9780065826922
FDV04,OUT017,2624.863110966565
NCN14,OUT035,2975.4833906593067
FDH08,OUT013,3643.5167154159763
FDS20,OUT046,2869.6655231483446
FDV40,OUT049,1379.978454213615
FDZ48,OUT010,-86.89226142344
FDS24,OUT027,2932.0148532120584
FDK44,OUT049,2828.4979432217183
FDS48,OUT045,2339.162803170231
FDK26,OUT010,1102.713449369889
FDD23,OUT045,2937.0715590527197
NCH54,OUT017,2634.2183373391235
NCP14,OUT010,-188.7688828344124
FDM60,OUT010,-1102.8992058263439
FDV24,OUT017,2476.4049421632076
FDH08,OUT018,3307.193971473378
FDS12,OUT027,3456.9008641950745
FDR39,OUT027,4257.419862283465
FDP12,OUT027,2172.1116928418496
DRF60,OUT027,5054.8400351898
FDC09,OUT035,1883.5086627079038
FDF50,OUT018,2792.6310969882393
FDG28,OUT035,3949.81155231378
NCE19,OUT017,1057.1553589040075
NCM53,OUT010,-135.3811978541787
NCN18,OUT049,1869.172365792888
FDF32,OUT035,3238.1001142024816
FDF11,OUT013,3794.36755011207
DRI59,OUT049,3568.4143166368203
NCG54,OUT035,2780.94239834641
FDM44,OUT046,1678.2034344736799
FDT57,OUT018,3413.214260619038
FDV24,OUT046,2369.6357117290468
FDI50,OUT019,1710.7204506835278
FDS09,OUT035,1104.3527497603102
NCC31,OUT027,3861.4868349885746
FDQ07,OUT019,1570.3560600779106
FDC22,OUT017,3127.2816064612584
FDZ56,OUT046,2686.5134977821203
FDZ40,OUT019,-886.7626110244148
FDS46,OUT027,3392.0789039431997
DRD24,OUT045,2178.0225931934374
FDV45,OUT017,3076.1107171873223
FDL26,OUT045,2402.3300001392595
FDA56,OUT018,1738.9110946749888
FDN27,OUT046,1901.2545117692034
FDM20,OUT049,3893.6092714590477
FDO16,OUT017,1507.2173898711962
FDL03,OUT035,3249.545728230856
FDE58,OUT046,1865.6219302935838
FDI02,OUT027,3275.7956275253146
NCC55,OUT019,-1192.3770005445685
FDR03,OUT018,2987.901152054704
FDB14,OUT017,1662.1679460339792
FDR45,OUT013,3772.579260204853
NCN07,OUT017,2178.64376018283
FDM51,OUT019,-145.5376841060554
FDT52,OUT027,5264.676501721283
FDL26,OUT046,2437.143782847011
NCZ42,OUT046,3677.868967036171
DRI47,OUT019,456.8521841976948
FDW40,OUT013,2322.4472749602055
FDN34,OUT046,2710.5360779484186
FDS01,OUT035,2961.6490133131797
NCG55,OUT045,1786.9058715791348
FDC11,OUT035,1578.8896400684446
FDX35,OUT018,3287.5528220412066
NCB06,OUT046,2504.743622035887
FDR09,OUT019,2147.0068762252204
FDC53,OUT017,1723.1701314392994
FDY45,OUT013,3990.4304464530264
FDA22,OUT010,754.8653210773699
FDE02,OUT035,1702.4437496190928
FDW21,OUT045,1637.8254474510586
FDV34,OUT046,1307.5016795396905
FDS59,OUT049,1937.4107538080561
NCW17,OUT017,2147.7122949500326
NCK54,OUT046,1804.4971605622093
FDG17,OUT019,1966.89554712567
FDG35,OUT017,2883.718190013422
FDD08,OUT010,-1134.576572534741
NCO07,OUT017,3381.1193548026704
FDJ10,OUT010,409.07438167931775
FDW36,OUT017,1811.7912010783193
FDW21,OUT010,-104.46172867600899
FDY19,OUT017,2023.8981623947698
DRE03,OUT013,889.3223243086383
NCC55,OUT049,786.130311373286
FDH52,OUT010,-728.1369806091943
FDO09,OUT017,4203.267619634894
FDU43,OUT045,3686.9487312052206
FDX09,OUT010,883.5188100450076
FDH40,OUT019,-431.88709691309873
FDW58,OUT017,1823.7420261733255
FDC47,OUT017,3624.1058505220462
NCR41,OUT035,1674.3492540532347
DRG49,OUT035,3913.44760386628
FDC52,OUT027,3894.603804957206
FDY13,OUT046,1276.9689188702798
FDY35,OUT013,915.8285060569284
FDI35,OUT017,2960.63683492597
NCU18,OUT049,2342.630963122251
FDY33,OUT018,2273.2012978670004
FDC15,OUT027,3895.31238989349
FDU01,OUT049,3082.5097281564595
NCU42,OUT046,2650.1568886481627
NCV29,OUT018,2512.732021311834
NCY30,OUT017,2959.982470997532
FDQ46,OUT049,1913.0945804426638
FDG58,OUT027,3895.060673733048
FDK33,OUT017,3446.5487531721224
NCD07,OUT045,1756.6520651494634
NCX29,OUT027,3699.261649927388
NCT42,OUT013,2382.283708216127
DRN59,OUT035,948.0167681826251
FDI44,OUT035,1465.3501433905146
FDA45,OUT049,2867.56636936089
FDP31,OUT045,1088.4448376179598
FDY01,OUT046,1874.2015536922413
FDT09,OUT018,1921.9124976175203
DRH03,OUT027,2974.0502070128005
FDA36,OUT018,2682.4973303911747
NCF31,OUT017,2514.308996755028
FDG14,OUT049,2548.1904585180646
FDG28,OUT027,5255.859874286135
FDU14,OUT049,3974.3028500453984
FDY47,OUT019,277.6410696736932
FDI56,OUT049,1604.59535672638
DRD01,OUT013,1058.2901272256602
FDM22,OUT046,1015.6800257938481
FDH33,OUT013,806.119052978948
DRZ24,OUT013,1906.8063733416104
NCQ38,OUT046,1707.036851734674
FDO16,OUT027,2848.9516869690956
FDU07,OUT027,3804.0672245512214
NCB07,OUT013,3053.215632751301
FDU48,OUT045,2070.6775038584838
NCM43,OUT045,2539.1369107319315
FDR31,OUT010,477.4442687769955
DRK49,OUT018,485.86409650238966
NCI30,OUT010,1891.2851961255456
DRD60,OUT017,2935.47351445511
NCG19,OUT046,3591.5948980924
FDH12,OUT035,1864.062120350831
FDM32,OUT035,1664.4357517254255
FDM27,OUT035,2628.2187787986013
NCU53,OUT027,4016.9563628576116
NCQ18,OUT046,1583.4188645225056
FDS10,OUT013,2857.058396272112
FDB33,OUT027,3943.712059634531
FDI12,OUT013,1500.6283829248778
NCW42,OUT013,3454.653936541189
NCC06,OUT018,1793.7615499003132
FDW02,OUT017,2170.502748485484
NCD43,OUT017,1793.7506507598985
FDM57,OUT018,1168.9960201417907
FDA58,OUT017,3746.9092975914837
FDK56,OUT046,2868.859468407235
FDP52,OUT045,3566.361191491097
FDW20,OUT018,1741.155285808432
FDS52,OUT049,1776.7492541255106
NCT29,OUT018,1649.005783397226
NCL54,OUT013,2751.190786537149
FDC05,OUT045,3073.9849426773417
FDF34,OUT035,3278.409530159693
FDP03,OUT027,3472.9430691699076
FDD32,OUT010,-434.4505768399738
FDZ10,OUT045,1993.9399995433123
FDZ40,OUT035,1122.396352544153
FDD51,OUT018,516.6908408515706
NCY30,OUT019,946.5225128342416
FDP58,OUT017,3467.8473464158465
FDV49,OUT017,4193.470258837232
FDY24,OUT019,-941.3729488748795
NCO55,OUT017,1823.9188677395111
FDR13,OUT017,2050.3628466866144
FDS51,OUT017,1189.7139975779808
FDP26,OUT045,1615.8048418602493
NCB54,OUT027,3480.87727345286
FDF32,OUT017,3166.545879539177
FDN31,OUT018,2700.786913771585
DRM48,OUT017,765.5148622375217
FDN20,OUT049,2775.5039837737654
DRL01,OUT046,3623.244746982692
FDV56,OUT049,1913.0969256332842
DRH13,OUT027,3174.4565178372754
FDA03,OUT017,2462.127379385579
FDF47,OUT027,4894.181646105178
FDX32,OUT046,2355.191778183757
FDX57,OUT049,1735.696890063729
NCA30,OUT045,2873.1188278889913
FDO49,OUT013,974.919441648417
FDL04,OUT019,-167.80036313159303
DRM48,OUT035,825.1720133677
FDR16,OUT013,3368.3395710159366
NCC19,OUT018,2710.495468886506
NCE42,OUT045,3570.9096482473733
FDY24,OUT017,1090.876839920944
FDH19,OUT049,2878.5713045227576
FDJ46,OUT013,2759.4005106592576
FDN45,OUT010,1587.3242280400873
FDY08,OUT035,2398.772205265709
FDZ37,OUT035,1626.7557550636977
NCT30,OUT045,777.8860070461751
DRY23,OUT018,526.9236785631006
NCZ30,OUT018,1682.233677915403
FDC44,OUT018,1542.390152175085
FDB45,OUT035,1873.252866193149
FDY04,OUT013,2669.5588390578987
FDM27,OUT046,2525.9203542419823
FDZ43,OUT017,3877.3536169435324
FDT39,OUT019,601.4654602955208
NCC06,OUT019,170.06455910456384
FDL15,OUT027,3876.916642173248
FDL57,OUT017,4122.935497378636
FDU08,OUT046,1628.3466397487937
FDK40,OUT017,4159.584103077232
FDQ12,OUT010,1698.3633906983591
FDS48,OUT017,2506.187662512424
FDP09,OUT045,3260.859024041073
FDW21,OUT049,1775.0605104626834
FDY25,OUT035,2982.066847586627
DRE13,OUT017,1524.2590931005864
FDV43,OUT019,-1076.429278536129
FDD22,OUT045,1750.7464849776075
FDM46,OUT019,-369.85680089489006
NCO30,OUT010,1013.5279826405359
FDM25,OUT046,2774.996246729471
NCN41,OUT049,2068.8199825185975
FDU24,OUT045,1486.8750615272193
FDZ50,OUT046,2918.3009902878916
FDP45,OUT013,3979.40426545312
NCM54,OUT045,1947.0108556224395
FDW10,OUT019,870.9125108073173
FDP20,OUT017,2162.7228269136344
FDK32,OUT046,2436.6086211042884
FDN52,OUT049,1590.4450480915193
FDM58,OUT045,1787.2652020902683
FDZ46,OUT027,3225.5713282307606
NCA18,OUT018,1609.5973540141663
FDD35,OUT046,1959.5496418915545
NCK31,OUT035,1027.9855964873898
FDI40,OUT027,3105.618117477896
FDT50,OUT019,-242.28712763251656
NCT06,OUT046,2573.1894956880033
FDT31,OUT035,3112.5250759868627
FDT45,OUT049,1049.2944197956783
FDT13,OUT045,2881.657564702258
FDO50,OUT045,1430.126805897607
NCU18,OUT010,353.2505230900416
NCR54,OUT049,3114.963374700905
NCO18,OUT018,2528.5246665039576
FDU09,OUT045,979.3510785136884
FDT13,OUT018,2683.8694701026916
FDE09,OUT046,1833.30592610315
NCK53,OUT019,-228.19243227971634
FDG45,OUT049,3413.4409530684497
DRH15,OUT035,931.4975713600525
FDO21,OUT019,1680.8301184576671
FDD14,OUT027,4297.979926227337
FDC09,OUT046,1736.236716692562
FDH45,OUT027,2263.680314340578
FDV32,OUT046,1119.3853350415466
FDG12,OUT035,2099.113227210114
FDS32,OUT013,2328.7847678870767
NCL55,OUT018,3573.050996881735
DRE01,OUT035,3864.2169874837145
DRE15,OUT049,1387.3871486913938
NCL42,OUT045,3736.2243205345744
FDP31,OUT013,1161.988400885894
FDN33,OUT018,1304.9018318460585
FDZ59,OUT046,2637.583205962707
FDE45,OUT010,931.7170442615119
FDJ07,OUT013,1961.6670586195578
FDQ45,OUT018,2670.2827697853127
FDM33,OUT027,4824.039690171043
FDO15,OUT010,-519.8793843700569
FDM46,OUT013,1552.2680968235727
FDR03,OUT045,3190.1469128328354
FDY49,OUT018,2422.8546695172167
FDQ60,OUT045,1893.1457125231027
FDW10,OUT049,2873.0294967280415
FDO51,OUT049,966.9287911132565
FDJ40,OUT018,1551.9973485984337
FDS20,OUT018,2597.080712696285
FDU45,OUT013,1923.327177921351
FDV02,OUT035,2814.6978870450143
FDN09,OUT046,3749.9537204915755
NCM55,OUT027,4327.740943355289
FDN23,OUT018,2074.7410184810733
FDY31,OUT010,450.2085101045549
FDW03,OUT010,-72.42038015894059
FDD14,OUT046,2856.4465218491873
FDV23,OUT017,2110.067474773322
DRI03,OUT045,2682.7673466244783
FDN13,OUT035,1758.848205106832
FDF45,OUT027,2527.5204648477256
FDU46,OUT035,1659.9024346962126
FDB57,OUT049,3617.7675884732234
FDV12,OUT049,1780.8452666320327
FDQ58,OUT013,2424.8736722459867
NCA18,OUT017,1958.0200842507109
FDH52,OUT049,1217.0359060082646
FDM24,OUT018,2151.712317847276
NCP43,OUT027,4256.692458316629
NCO18,OUT019,906.7840279517685
FDM32,OUT017,1615.1951628050056
NCL07,OUT017,801.8355201841129
FDK03,OUT013,3992.601404867823
FDP59,OUT017,1831.480224992711
FDQ24,OUT049,3974.604689529104
FDQ16,OUT018,1532.999258442855
FDU44,OUT013,2626.3319340125636
FDH28,OUT010,-1126.973043155179
FDV28,OUT019,-1200.6081058872192
FDM22,OUT045,947.9048317784266
FDR56,OUT046,3097.64209901269
FDV39,OUT049,3183.5460407535547
FDU37,OUT019,-506.2554593686914
FDQ11,OUT010,2181.3183523407783
FDX02,OUT045,3412.86242134427
NCS42,OUT018,1242.9976161790146
FDY57,OUT027,3014.8700631256456
FDB21,OUT049,3819.7076389485273
FDE28,OUT017,3682.566788376779
FDQ55,OUT017,1994.7399937775822
FDA48,OUT049,3546.5897334169163
FDZ19,OUT045,2679.175895925467
NCC43,OUT045,3797.533790777962
NCV18,OUT046,1335.3616333727452
NCA42,OUT018,2216.540000792899
FDY45,OUT046,3949.4901743402097
NCC30,OUT045,2735.645586799643
FDM57,OUT013,1506.89774228238
FDL09,OUT010,774.8499612435252
FDB09,OUT027,3448.755511346432
FDT44,OUT035,2054.291202582521
NCT06,OUT027,3995.361252058191
FDX26,OUT049,2976.602520581374
FDK32,OUT013,2507.853207231588
DRA12,OUT046,2240.5557340082596
FDO46,OUT010,1114.5086027150555
FDE52,OUT013,1519.1171949899217
NCH42,OUT045,3497.0430517374716
FDV08,OUT035,911.3748663967779
FDB47,OUT018,3019.274040978586
FDC28,OUT010,-107.05902359028028
FDD22,OUT046,1837.3886828013342
FDS07,OUT027,3271.5142342946615
DRI13,OUT045,3300.952592147801
FDG32,OUT018,3175.4312664499944
FDU14,OUT017,3974.3573738138257
FDD28,OUT019,-863.5343473333978
NCP41,OUT017,1880.0758094104447
FDS08,OUT049,2867.480820478286
FDX47,OUT045,2491.0961936528665
FDC53,OUT019,-183.08310710176556
FDQ19,OUT035,3925.8699671290337
